hotel_id,name,address,category,location,lat,lng,reviews,room type,price per night (pounds),disability_access,review_users,swimming_pool,breakfast_available,michelin_restaurant
0,IBIS STYLES,77 RUE DE BERCY,accommodation,Paris,48.838231622398,2.3809883044678,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85700,Double,108.24,FAUX,4,FAUX,VRAI,FAUX
1,PLACE VENDOME,PLACE VENDOME- PARIS- 75001- FRANCE,accommodation,Paris,48.867466624968,2.3294722495221,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215442,Single,85.36,FAUX,3,FAUX,VRAI,FAUX
2,PRATIC HOTEL,31 RUE GERMAIN PILON- PARIS- FRANCE,accommodation,Paris,48.884566,2.336985,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215444,Family,155.76,FAUX,5,VRAI,VRAI,FAUX
3,HOTEL DES ARTS MONTMARTRE - PARIS,5 RUE THOLOZE- PARIS- 75018- FRANCE,accommodation,Paris,48.8862287828,2.33512734519,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215445,Double,126.72,FAUX,5,FAUX,VRAI,FAUX
4,HOTEL BUCI - 4***,22 RUE DE BUCI - PARIS- 75006- FRANCE,accommodation,Paris,48.853749989897,2.3368173187919,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215447,Single,94.16,VRAI,1,VRAI,FAUX,FAUX
5,HOTEL AMOUR,8 RUE DE NAVARIN- PARIS- FRANCE,accommodation,Paris,48.879582,2.339391,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215450,Single,78.32,FAUX,3,FAUX,VRAI,FAUX
6,MARRIOTT HOTEL,17 BOULEVARD SAINT-JACQUES- PARIS- 75014- FRANCE,accommodation,Paris,48.83193749638,2.3399577681495,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215453,Family,360.8,VRAI,4,VRAI,VRAI,VRAI
7,FIAP,30 RUE CABANIS- PARIS- 75014- FRANCE,accommodation,Paris,48.830667418957,2.3381161802515,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215454,Double,209.44,VRAI,4,FAUX,VRAI,FAUX
8,HOTEL IBIS LA FAYETTE,122 RUE LA FAYETTE- PARIS- 75010- FRANCE,accommodation,Paris,48.87813362065,2.3525783989977,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215455,Family,171.6,FAUX,4,VRAI,VRAI,FAUX
9,HOTEL DES ARÈNES,51 RUE MONGE- PARIS- FRANCE,accommodation,Paris,48.84507,2.352394,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215456,Double,90.64,FAUX,4,VRAI,FAUX,FAUX
10,HOTEL MERRYL - GARE DU NORD,7-9- RUE PAJOL- PARIS- 75018- FRANCE,accommodation,Paris,48.8852448942,2.36058418696,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215457,Twin,212.08,VRAI,4,VRAI,VRAI,FAUX
11,CENTRE PARIS,3 RUE RENÉ BOULANGER- PARIS- FRANCE,accommodation,Paris,48.868996,2.358244,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215460,Single,93.28,FAUX,2,FAUX,VRAI,FAUX
12,HOTEL REIMS (PARIS),32 RUE D'AUBERVILLIERS- PARIS- 75019- FRANCE,accommodation,Paris,48.885915759547,2.3662783747048,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215462,Double,150.48,VRAI,2,FAUX,FAUX,FAUX
13,IBIS PARIS JEMMAPES 10 EME,12- RUE LOUIS BLANC- PARIS- 75010- FRANCE,accommodation,Paris,48.8792774667,2.36830077225,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215464,Family,211.2,VRAI,4,FAUX,VRAI,FAUX
14,IBIS BUDGET PARIS LA VILLETTE 19ÈME (EX ETAP HOTEL),57-63- AVENUE JEAN JAURÈS- PARIS- 75019- FRANCE,accommodation,Paris,48.884712099,2.37612966741,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215468,Double,322.08,VRAI,3,FAUX,VRAI,FAUX
15,LE PAVILLON DU LAC,PARC DES BUTTES CHAUMONT- ENGHIEN- 95880- FRANCE,accommodation,Paris,48.880784349407,2.3812032227192,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215470,Twin,177.76,FAUX,4,VRAI,VRAI,FAUX
16,HOTEL TWELVE,82 AVENUE DOCTEUR ARNOLD NETTER- PARIS- 75012- FRANCE,accommodation,Paris,48.846431352,2.40643163469,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=215471,Double,105.6,VRAI,2,VRAI,VRAI,FAUX
